Tiempo	Setpoint (%)	Error	Salida (%)	Ley de Control
0.00	0.00	0.00	0.00	0.00
1.00	0.00	0.00	0.00	0.00
2.00	25.00	25.00	0.00	0.00
3.00	25.00	25.00	0.00	10.76
4.00	25.00	20.06	4.94	17.82
5.00	25.00	13.28	11.72	22.76
6.00	25.00	6.31	18.69	25.50
7.00	25.00	0.23	24.77	26.25
8.00	25.00	-4.28	29.28	25.42
9.00	25.00	-6.96	31.96	23.54
10.00	25.00	-7.91	32.91	21.18
11.00	25.00	-7.43	32.43	18.81
12.00	25.00	-5.98	30.98	16.78
13.00	25.00	-4.02	29.02	15.30
14.00	25.00	-1.99	26.99	14.46
15.00	25.00	-0.19	25.19	14.20
16.00	25.00	1.16	23.84	14.41
17.00	25.00	1.98	23.02	14.93
18.00	25.00	2.29	22.71	15.62
19.00	25.00	2.18	22.82	16.31
20.00	25.00	1.78	23.22	16.91
21.00	25.00	1.22	23.78	17.35
22.00	25.00	0.62	24.38	17.61
23.00	25.00	0.09	24.91	17.70
24.00	25.00	-0.31	25.31	17.65
25.00	25.00	-0.56	25.56	17.50
26.00	25.00	-0.66	25.66	17.30
27.00	25.00	-0.64	25.64	17.10
28.00	25.00	-0.53	25.53	16.92
29.00	25.00	-0.37	25.37	16.79
30.00	25.00	-0.19	25.19	16.71
31.00	25.00	-0.04	25.04	16.68
32.00	25.00	0.08	24.92	16.70
33.00	25.00	0.16	24.84	16.74
34.00	25.00	0.19	24.81	16.79
35.00	25.00	0.19	24.81	16.85
36.00	25.00	0.16	24.84	16.90
37.00	25.00	0.11	24.89	16.94
38.00	25.00	0.06	24.94	16.97
39.00	25.00	0.01	24.99	16.98
40.00	25.00	-0.02	25.02	16.98
41.00	25.00	-0.04	25.05	16.96
42.00	25.00	-0.06	25.06	16.95
43.00	25.00	-0.05	25.06	16.93
44.00	25.00	-0.05	25.05	16.92
45.00	25.00	-0.03	25.03	16.90
46.00	25.00	-0.02	25.02	16.90
47.00	25.00	-0.01	25.01	16.89
48.00	25.00	0.01	24.99	16.89
49.00	25.00	0.01	24.99	16.90
50.00	25.00	0.02	24.98	16.90
51.00	25.00	0.02	24.98	16.91
52.00	25.00	0.01	24.99	16.91
53.00	25.00	0.01	24.99	16.91
54.00	25.00	0.01	24.99	16.92
55.00	25.00	0.00	25.00	16.92
