Entrada	RPM(%)	Tiempo
25	0	06.919
25	26.785714	07.047
25	33.587103	07.124
25	35.014006	07.207
25	36.075036	07.292
25	37.593985	07.370
25	36.818851	07.443
25	36.818851	07.521
25	36.945813	07.604
25	37.462537	07.681
25	36.945813	07.764
25	37.073653	07.849
25	37.726358	07.927
25	37.332006	08.010
25	36.945813	08.087
25	36.945813	08.168
25	36.443149	08.247
25	36.567528	08.332
25	36.818851	08.411
25	36.567528	08.488
25	36.818851	08.570
25	36.945813	08.656
25	36.945813	08.738
25	36.692759	08.817
25	37.593985	08.895
25	37.593985	08.976
25	36.692759	09.054
25	36.692759	09.136
25	36.818851	09.221
25	36.567528	09.312
25	36.567528	09.394
25	36.567528	09.481
25	37.332006	09.573
25	36.818851	09.668
25	36.692759	09.762
25	36.443149	09.851
25	36.692759	09.942
25	36.818851	10.032
25	36.818851	10.127
25	36.692759	10.217
25	36.818851	10.306
25	37.462537	10.401
25	36.818851	10.496
25	37.073653	10.590
25	36.818851	10.684
25	37.202381	10.779
25	36.567528	10.873
25	36.945813	10.963
25	37.073653	11.052
25	37.462537	11.142
25	36.692759	11.238
25	36.567528	11.332
25	36.818851	11.425
25	37.593985	11.523
25	36.567528	11.617
25	36.443149	11.709
25	37.332006	11.802
25	37.593985	11.897
25	37.726358	11.986
25	36.692759	12.078
25	36.567528	12.170
25	36.818851	12.269
25	37.202381	12.360
25	36.692759	12.463
25	37.726358	12.559
25	36.818851	12.646
25	36.945813	12.736
25	36.945813	12.830
25	36.945813	12.920
25	36.818851	13.010
25	36.692759	13.109
25	37.073653	13.211
25	36.945813	13.309
25	36.818851	13.408
25	36.945813	13.505
25	36.945813	13.600
25	37.202381	13.694
25	36.443149	13.786
25	37.859667	13.883
25	36.945813	13.981
25	37.462537	14.076
25	36.945813	14.170
25	36.818851	14.263
25	37.332006	14.358
25	36.818851	14.453
25	37.859667	14.548
25	37.073653	14.644
25	37.332006	14.734
25	36.567528	14.825
25	37.593985	14.920
25	37.859667	15.017
25	37.073653	15.116
25	37.202381	15.210
25	36.945813	15.301
25	36.692759	15.402
25	36.818851	15.505
25	37.726358	15.596
25	37.073653	15.691
25	37.462537	15.784
25	37.726358	15.878
25	36.692759	15.972
25	36.945813	16.063
25	37.332006	16.156
25	37.859667	16.292
25	38.129131	16.387
25	37.073653	16.481
25	36.945813	16.574
25	36.818851	16.685
25	36.945813	16.783
25	37.332006	16.878
25	37.593985	16.976
25	37.202381	17.070
25	37.202381	17.164
25	36.818851	17.254
25	37.462537	17.370
25	36.692759	17.464
25	36.945813	17.557
